昵称,id,学历,学校,学院,专业,经验,简介
巨型蟹黄汤包,5ba1fb61aee331ff06654862,学生,北京大学,经济学院,Economics / Finance,,
陈不占,5ba1dbecaee331ff06654861,学生,中南大学,中南大学商学院,Economics / Finance,,
我家茹姐,5b9c8942845a7631727c6b8e,学生,暨南大学,艺术学院,Design,江湖人物,
xue di,5b9e3b97845a7631727c6b93,硕士,巴黎第十一大学,计算机学院-人机交互,Computer and Information Science,,
鹿鹿,5b9c4ee7845a7631727c6b8d,学生本科,北京邮电大学,经济管理学院,Economics / Finance,,
Lingua Franca,5b9a2bc3845a7631727c6b33,学生,中国药科大学,商学院,Business Administation / Management Science,研究生在读,正在发文章的路上匍匐前行
Chyi,5b9a455dc2f15ecd73ddf724,博士生,上海交通大学,安泰经济与管理学院,Business Administation / Management Science,交大工商管理PHD,
rachel,5b99c2c8c2f15ecd73ddf721,学生,云南财经大学,商学院,Economics / Finance,a phd student,菜鸟一枚，需要多学习
糖芋苗,5b971f68845a7631727c6b21,硕士生,南开大学,商学院,Business Administation / Management Science,无个性不签名,无
李适源,5b96fb1bc2f15ecd73ddf606,学生,北京大学,社会学系,Economics / Finance,社会心理学学习者,
陈旭东,5b967bb4c2f15ecd73ddf602,管理人员,长沙高新区,拆迁,,男，湖南长沙，在职研究生，事业单位职工。,
烧火棍儿,5b95f1f9845a7631727c6b14,学生,自己家,律所,Law,不务正业的lawyer,
朱郭一鸣,5b93fcf3c2f15ecd73ddf5ca,博士生,对外经济贸易大学,国际商学院,Economics / Finance,对外经济贸易大学会计学博士,
瓜胖,5b94d4d0845a7631727c6b05,学生,南京工业大学,经济与管理学院,Business Administation / Management Science,,
欧++,5b9353a0845a7631727c6af4,博士,中国农业大学,经济管理学院,Economics / Finance,,
张丽丽,5b90515b2be304901ee1508b,教师,安徽工业经济学院,商贸学院,Economics,,
胡先生,5b90a46cd89a20ab1ebb48e8,副教授,复旦大学,经济学院,Economics / Finance,量化投资爱好者！,
容容love,5b8f46152be304901ee1507b,学生,辽师,心理学院,Education,心理学小白,
ydt,5b8f376c2be304901ee15079,博士生,北京体育大学,心理学院,,No pain，no gain！,
volcano,5b8f2f25d89a20ab1ebb48d0,研究生,北京体育大学,心理学院,Psychology,一个爱换头像的女同学。,
流浪飞沙,5b8d08d0d89a20ab1ebb48aa,硕士研究生,南京师范大学,心理学院,Psychology,一味想着死的事，一定是因为太过认真地活,无
独自挣扎的小白,5b8b9f092be304901ee15037,硕士生,吉林大学,管理学院,Social Sciences,,
xxx,5b8b76472be304901ee15034,学生,山东大学,经济学院,Economics / Finance,"上半生得到的容易，是以浮浮浅浅，门门似懂非懂，半罐醋叮当作响，一无所长一无所成，好在身形尚可，心理康健。
下半生还仍没到来，只盼兢兢业业，事事无愧于心，憋一口真气不散，半学处事半学佛法，止于经世济人，和济乡邻。",
李三省,5b8a0239d89a20ab1ebb488d,博士，研究员,南京大学商学院,南京大学经济学院,Economics,生活中的实用主义者，学术中的理想主义者。,正在不断完善中
琦琦不是奇奇,5b88a1fa2be304901ee14fc9,博士生,东北师范大学,商学院,Social Sciences,学术小白，努力追逐大神的脚步，一点一点提升自己。,
卡嚓,5b86bb842be304901ee14fbe,研究助理,暨南大学,华文学院,Psychology,,
LINA,5b87b68e2be304901ee14fc4,博士,中科院,数学与系统科学研究院,Mthematics,,
Qian Cheng,5b8789162be304901ee14fc0,Student,Zhejiang University,School of Economics,Economics / Finance,,
Abner Zhao,5b85eb2b89efe612416867ad,无,无,无,无,无,无
Fandy,5b85fb72d89a20ab1ebb4822,讲师,苏州大学,东吴商学院,Economics,高校青椒一枚,教学科研入职，但是科研基础薄弱。
曾淑桂,5b8561c589efe612416867a9,博士生,中国人民大学,经济学院,Economics / Finance,A  PHD student at RUC,
六六,5b823a0efa4ae540215056f3,学生,南华大学,语言文学学院,Linguistics,语言学小萌新。,没在起步
爱吃猫的鱼,5b835dbdfa4ae5402150575a,博士生,对外经济贸易大学,国际商学院,Business Administation / Management Science,,
刘建奇,5b7bc0eb89efe61241686565,学生,密歇根州立大学,理学经济学,Sports and Recreation,经济学界的一个小学生,实习：国家开发银行，中国工商银行投行部，招商证券，德勤企业咨询风险咨询部，埃森哲战略咨询
君复,5b7a902189efe61241686559,学生,上海财经大学,商学院,Economics,商科博士生,
姜小伟,5b7b701b89efe61241686560,研究生,大连理工大学,管理与经济学部,Business Administation / Management Science,大连理工大学 管理科学与工程 优化调度,网上超市订单分批排序研究
YANXIAO604,5b7b767289efe61241686562,学生,中南大学,商学院,Economics / Finance,economic,暂未成果的科研
ahcyq,5b797ce789efe61241686555,本科生,太原理工大学,力学学院,Biological Sciences,,
小明同学,5b76f41089efe6124168651e,学生,复旦大学,经济学院,Economics,复旦经济学,
V大喵,5b78dee289efe61241686548,PhD Student,University of Cambridge,Second Language Education,Linguistics,Less is more.,
RayHulala,5b780fe789efe61241686541,Analyst,Faraway Associates & Co.,,Economics / Finance,未来的包子铺老板。,"RayHulala is an analyst at Faraway Associates & Co. and planning his own Baozi business. His research interests include (1) Financial intermediary and information production in the capital market, (2) executive compensation contracts, (3) political economy in finance, (4) cross-discipline research (on linguistic, culture, geography)."
谢伊Shea_Psyc,5b77ef2afa4ae54021505610,Master,University of Edinburgh,Moray House School of Education,Psychology,,
Yang Wengui,5b76d6df89efe6124168651c,学生,长春理工大学,电子信息工程学院,Electrical and Electronic Engineering,,
张文逸,5b762164fa4ae540215055ba,硕士,天津大学,天津大学管理与经济学部,Economics,管理科学与工程 硕士研究生,
梁小密,5b762c88fa4ae540215055bd,博士生,暨南大学,管理学院,Business Administation / Management Science,暨南大学企业管理系博士生,基于互联网背景下研究不同类型平台的盈利模式和广告模式差异性，游戏定价方式，退货问题等等
Fugue CAE,5b737fa8fa4ae54021505546,郑州,郑州大学,HR,,,
赛克姑娘,5b72c3dc89efe612416864cd,博士生,华南师范大学,心理学院,Psychology,以后再说,
joe007,5b71788189efe6124168648c,学生,人大,环境学院,Environmental Sciences,一个科研小白，努力中...,
JingChing,5b723c7d89efe612416864cb,博士生,北京大学,心理与认知科学学院,Psychology,基础心理学博士生,
miniuom,5b6d504489efe61241686415,学生,大学,教科院心理学,Psychology,世界学习者,
zhenghui,5b6e8c90fa4ae54021505464,硕士,浙江师范大学,心理学系,Psychology,使用fMRI研究网络游戏成瘾,
呆云儿,5b6fa16dfa4ae540215054c7,学生,浙江工业大学,经贸管理学院,Humanities,但行好事，莫问前程,
Xin Pan,5b6ad121fa4ae54021505429,assistant professor,西南财经大学,工商管理学院,Business Administation / Management Science,Assitant professor at SWUFE,
包福气,5b682636fa4ae5402150540b,博士生,陕师大,心里学院,Psychology,,
echo,5b67b95889efe612416863e0,博士生,华南理工大学,管理学院,Business Administation / Management Science,,
